marker,timestamp
Row-1,1741708796.565084
Col-5,1741708796.7034519
Row-3,1741708796.779375
Col-2,1741708796.920018
Row-4,1741708796.9993541
Col-2,1741708797.1496692
Row-3,1741708797.233919
Col-2,1741708797.383329
Row-4,1741708797.4658282
Col-1,1741708797.6148522
Row-5,1741708797.6956108
Col-4,1741708797.844349
Row-5,1741708797.927038
Col-4,1741708798.076523
Row-2,1741708798.157797
Col-4,1741708798.306985
Row-0,1741708798.387702
Col-1,1741708798.53698
Row-5,1741708798.6209762
Col-0,1741708798.769866
Row-1,1741708798.8510358
Col-4,1741708799.000916
Row-5,1741708799.085854
Col-3,1741708799.237026
Row-0,1741708799.320949
Col-0,1741708799.469944
Row-1,1741708799.553782
Col-2,1741708799.702421
Row-3,1741708799.7856572
Col-3,1741708799.935856
Row-5,1741708800.038084
Col-0,1741708800.1855261
Row-2,1741708800.2681909
Col-0,1741708800.41676
Row-2,1741708800.4996312
Col-5,1741708800.648556
Row-0,1741708800.733067
Col-0,1741708800.8819
Row-5,1741708800.96508
Col-3,1741708801.1141171
Row-0,1741708801.198539
Col-4,1741708801.347455
Row-3,1741708801.431233
Col-2,1741708801.58018
Row-0,1741708801.664238
Col-3,1741708801.803146
Row-0,1741708801.8820322
Col-0,1741708802.030439
Row-5,1741708802.1149068
Col-1,1741708802.264268
Row-2,1741708802.34975
Col-3,1741708802.497544
Row-2,1741708802.583412
Col-4,1741708802.7331069
Row-5,1741708802.817235
Col-1,1741708802.966044
Row-0,1741708803.04982
Col-2,1741708803.198144
Row-4,1741708803.2811809
Col-5,1741708803.43041
Row-3,1741708803.517015
Col-0,1741708803.666032
Row-1,1741708803.7484858
Col-1,1741708803.899004
Row-0,1741708803.9824991
Col-2,1741708804.131279
Row-3,1741708804.2166212
Col-4,1741708804.36414
Row-4,1741708804.4488919
Col-0,1741708804.597858
Row-1,1741708804.678537
Col-2,1741708804.816909
Row-2,1741708804.8950279
Col-4,1741708805.0432389
Row-2,1741708805.1276128
Col-2,1741708805.275946
Row-1,1741708805.360539
Col-2,1741708805.50971
Row-1,1741708805.592654
Col-5,1741708805.74332
Row-1,1741708805.8262799
Col-3,1741708805.976212
Row-3,1741708806.06053
Col-2,1741708806.210261
Row-2,1741708806.2939
Col-4,1741708806.442993
Row-3,1741708806.525451
Col-0,1741708806.6734028
Row-2,1741708806.7501671
Col-5,1741708806.893003
Row-3,1741708806.985357
Col-1,1741708807.131516
Row-1,1741708807.2139862
Col-5,1741708807.363174
Row-1,1741708807.448241
Col-1,1741708807.59811
Row-4,1741708807.681695
Col-2,1741708807.830246
Row-1,1741708807.910793
Col-3,1741708808.061044
Row-1,1741708808.144872
Col-0,1741708808.294226
Row-3,1741708808.37754
Col-5,1741708808.526638
Row-5,1741708808.609063
Col-4,1741708808.757549
Row-2,1741708808.841064
Col-0,1741708808.988844
Row-1,1741708809.071213
Col-1,1741708809.219997
Row-4,1741708809.304363
Col-1,1741708809.45247
Row-2,1741708809.5363631
Col-5,1741708809.6859462
Row-5,1741708809.769237
Col-5,1741708809.918444
Row-0,1741708810.0026398
Col-1,1741708810.151765
Row-5,1741708810.236655
Col-5,1741708810.385681
